id,shift,title,short title,description,short description,update frequency,units,prefix,suffix,target direction of change,acceleration factor,driver type,status,chart min,chart max,start year,end year,source,last accessed date,methodology description,data file,repository,indicator type,benchmarks,data challenges,exponential,chart hide map,chart hide disagg,chart hide change
acss_cln_cook,"Guarantee access to safe, resilient transport and shelter",Access to clean cooking in urban areas,Access to clean cooking in urban areas,,,,%,,%,incr,8.673,,Well Off Track,0,,,,Goal 7 | Indicator 7.1.2 Proportion of population with primary reliance on clean fuels and technologies,2022-08-09,,acss_cln_cook.csv,public,outcome,acss_cln_cook_2030,,unlikely,,1,
agr_sprt,Eliminate harmful subsidies and financing,Agricultural subsidies that incentivize unsustainable intensification and overuse of natural resources,Unsustainable agricultural subsidies on natural resource overuse,,,,billion USD,$,B,decr,49.8,,Well Off Track,0,1000,,,Agricultural support (indicator),2022-02-18,,agr_sprt.csv,public,outcome,agr_sprt_2030,,unlikely,,1,
aum_invstr_coaltn,Scale up private finance for climate and nature,Assets under management conducting meaningful company engagement by participating in the Climate Action 100+ investor coalition,Assets under management conducting meaningful engagement with companies on climate change,,,,trillion USD,$,T,incr,,Leadership,,0,100,,,Climate Action 100 Progress Report,,,aum_invstr_coaltn.csv,public,driver,,,,1,1,
auto_cmpny_sbt,"Commercialize new solutions for cement, steel and plastics",Number of automotive companies setting Science Based Targets (SBTs) including scope 3 emissions,Automotive companies setting SBTs for scope 3 emissions,,,,Number of companies,,,incr,,Leadership,,0,,,,Companies Taking Action,2022-08-25,,auto_cmpny_sbt.csv,public,driver,,,,1,1,1
auto_cnstrctn_cmpny_sbt,"Reduce demand for cement, steel and plastics",Number of automotive and construction companies committing to science-based targets (SBTs)  including scope 3 emissions or material efficiency and circular economy targets,Automotive and construction companies committing to SBTs including scope 3 emissions or material efficiency and circular economy targets ,,,,Number of companies,,,incr,,Leadership,,0,,,,Companies Taking Action,2022-11-03,,auto_cnstrctn_cmpny_sbt.csv,public,driver,,,,1,1,
avg_atm,Extend economic and financial inclusion to underserved and marginalized groups,Presence of ATMs across the population,Presence of ATMs across the population,,,,"Number of ATMs/100,000 adults",,,incr,,Leadership,,0,,,,Financial Access Survey,,,avg_atm.csv,public,driver,,,,,1,
avg_cbn_prc,Price greenhouse gas emissions and other environmental externalities,Average global direct carbon price in nominal US dollars ,Average global direct carbon price,,,,USD/tCO2e,,,incr,17.47,,Well Off Track,0,700,,,Carbon Pricing Dashboard,2022-06-22,,avg_cbn_prc.csv,public,outcome,avg_cbn_prc_2030;avg_cbn_prc_2050,,unlikely,1,1,
avg_mbl_trnsc,Extend economic and financial inclusion to underserved and marginalized groups,Average number of mobile money transactions per active mobile money account,Average mobile money transactions per mobile money account,,,,Number of transactions/mobile account,,,incr,,Leadership,,0,,,,Financial Access Survey,,,avg_mbl_trnsc.csv,public,driver,,,,,1,
bus_rdrshp,Reduce avoidable vehicle and air travel,Bus rapid transit ridership,Bus rapid transit ridership,,,,millions of passenger/day,,,incr,,Innovation,,0,50,,,Global BRT Data,,,bus_rdrshp.csv,public,driver,,,,,1,1
cap_expnd_fsl,Eliminate harmful subsidies and financing,"Total capital investment planned in high-carbon activities misaligned with a 1.5°C pathway, starting with fossil fuel production and power generation",Total capital investment in high-carbon activities,,,,billion USD,$,B,decr,2.005,,Well Off Track,0,1300,,,World Energy Investment 2022 Datafile,,,cap_expnd_fsl.csv,public,outcome,cap_expnd_fsl_2030,,unlikely,1,,
city_vzc,"Guarantee access to safe, resilient transport and shelter",Number of cities participating in Vision Zero Challenge,Cities participating in Vision Zero Challenge,,,,Number of cities,,,incr,,Leadership,,0,,,,Vision Zero Challenge,2022-07-07,,city_vzc.csv,public,driver,,,,1,1,1
cmnt_cnstrctn_sbt,"Commercialize new solutions for cement, steel and plastics",Number of construction companies setting Science Based Targets (SBTs) accounting for scope 3 emissions,Construction companies setting SBTs for scope 3 emissions,,,,Number of companies,,,incr,,Leadership,,0,5,,,Companies Taking Action,2022-06-22,,cmnt_cnstrctn_sbt.csv,public,driver,,,,1,1,1
cmnt_emsn_intnsty,"Commercialize new solutions for cement, steel and plastics",Carbon intensity per ton of cement,Carbon intensity per ton of cement,,,,kgCO2/t cement,,,decr,10.95,,Well Off Track,0,,,,GNR 2.0 – GCCA in Numbers;Emissions Factors 2021,,,cmnt_emsn_intnsty.csv,private,outcome,cmnt_emsn_intnsty_2030;cmnt_emsn_intnsty_2050,,possible,1,1,
cmnt_emsn,"Commercialize new solutions for cement, steel and plastics",CO2 emissions from cement production,CO2 emissions from cement production,,,,MtCO2,,,decr,,,Cannot Calculate,0,,,,"A comprehensive and synthetic dataset for global, regional and national greenhouse gas emissions by sector 1970-2018 with an extension to 2019",,,cmnt_emsn.csv,public,outcome,,,possible,,1,
cmnt_prdctn,"Reduce demand for cement, steel and plastics",Global consumption of cement,Global consumption of cement,,,,Mt,,,decr,,,Cannot Calculate,0,,,,"Global cement production, 2010-2019",,,cmnt_prdctn.csv,private,outcome,,,unlikely,1,1,
cmnt_share_altr_thrml_enrgy,"Commercialize new solutions for cement, steel and plastics",Share of alternative fuels for thermal energy in cement production,Alternative fuels for thermal energy in cement production,,,,%,,%,incr,,Regulation and Incentives,,0,,,,GNR 2.0 – GCCA in Numbers,2022-08-17,,cmnt_share_altr_thrml_enrgy.csv,public,driver,,,,1,1,
cmnty_sprt,Eliminate harmful subsidies and financing,Fishing subsidies shifted to support fishing communities,Fishing subsidies shifted to support fishing communities,,,,million USD,$,M,incr,,Strong institutions,,0,250,,,Fisheries Support Estimates (FSE),,,cmnty_sprt.csv,public,driver,,,,,1,
cmpgn_fnc_fsl,Eliminate harmful subsidies and financing,Campaign finance contributions from the fossil fuel industry,Campaign finance contributions from the fossil fuel industry,,,,million USD,$,M,decr,,Strong institutions,,0,,,,Money to Congress,2022-06-23,,cmpgn_fnc_fsl.csv,public,driver,,,,,,
cmpny_adopt_hydro,"Commercialize new solutions for cement, steel and plastics",Number of companies undertaking commitments to accelerate adoption and deployment of green hydrogen,Companies committing to hydrogen deployment,,,,Number of companies,,,incr,,Leadership,,0,,,,Hydrogen Pledges;Green Hydrogen Catapult,2022-07-01,,cmpny_adopt_hydro.csv,public,driver,,,,1,1,1
cmpny_avtn_fuel,Transition to zero-carbon shipping and aviation,Number of companies committing to accelerate sustainable aviation fuel,Companies committing to accelerate sustainable aviation fuel,,,,Number of companies,,,incr,,Leadership,,0,100,,,Clean Skies for Tomorrow,,,cmpny_avtn_fuel.csv,public,driver,,,,1,1,1
cmpny_gmp,Reduce methane emissions from oil and gas operations as they are phased down,Number of companies in the Oil and Gas Methane Partnership 2.0,Companies in the Oil and Gas Methane Partnership 2.0,,,,Number of companies,,,incr,,Leadership,,0,100,,,Partners;History,2022-08-01,,cmpny_gmp.csv,public,driver,,,,1,1,
cmpny_hd_bev,Transition to zero-carbon cars and trucks,Number of companies selling commercial battery electric trucks,Companies selling commercial battery electric trucks,,,,Number of companies,,,incr,,Leadership,,0,100,,,"Medium- & Heavy-Duty Vehicles: Market structure, Environmental Impact, and EV Readiness",,,cmpny_hd_bev.csv,public,driver,,,,1,1,1
cmpny_rstrct_ff_lndng,Phase out unabated coal and fossil gas electricity generation,Number of banks restricting lending for fossil fuel exploration and production,Banks restricting lending for fossil fuel exploration and production,,,,Number of banks,,,incr,,Leadership,,0,5,,,Banking on Climate Chaos: Fossil Fuel Finance Report 2021 Methodology FAQ,,,cmpny_rstrct_ff_lndng.csv,public,driver,,,,1,1,1
cmpny_zero_emssn_steel,"Commercialize new solutions for cement, steel and plastics",Number of steel companies committing to zero emissions steel,Steel companies committing to zero emissions steel,,,,Number of companies,,,incr,,Leadership,,0,30,,,Green Steel Tracker,,,cmpny_zero_emssn_steel.csv,public,driver,,,,1,1,1
cmpny_zero_ship,Transition to zero-carbon shipping and aviation,Number of companies committed to procuring zero-emission ships,Companies committed to procuring zero-emission ships,,,,Number of companies,,,incr,,Leadership,,0,70,,,Report on Climate Commitments by Signatories to the Call to Action for Shipping Decarbonization,,,cmpny_zero_ship.csv,public,driver,,,,1,1,1
cmpny_zrcrbn_bldg,"Decarbonize heating, cooling and appliances",Number of companies committing to zero carbon buildings / decarbonisation of own buildings,Companies committing to zero carbon buildings/decarbonisation of own buildings ,,,,Number of companies,,,incr,,Leadership,,0,140,,,The Net Zero Carbon Buildings Commitment,2022-07-20,,cmpny_zrcrbn_bldg.csv,public,driver,,,,,1,1
