year,geo,value
1997,ARG,-276.1607412
1998,ARG,-30.08344217
1999,ARG,1125.440586
2000,ARG,232.8445876
2001,ARG,138.5745499
2002,ARG,-3283.808539
2003,ARG,-3623.495491
2004,ARG,-5244.55548
2005,ARG,-3780.414058
2006,ARG,-5068.471602
2007,ARG,-5657.456409
2008,ARG,-8422.583318
2009,ARG,-9533.653324
2010,ARG,-7471.020933
2011,ARG,-12424.34869
2012,ARG,-12819.20623
2013,ARG,-13740.15687
2014,ARG,-16445.81343
2015,ARG,-10921.50823
2016,ARG,-4066.912896
2017,ARG,-3045.724012
2018,ARG,-10132.7034
2019,ARG,-10402.24865
2020,ARG,-6700.070039
1986,AUS,1623.950156
1987,AUS,1144.312941
1988,AUS,1366.520259
1989,AUS,1459.383718
1990,AUS,1291.828644
1991,AUS,1188.359699
1992,AUS,1286.622169
1993,AUS,1310.42756
1994,AUS,1387.968215
1995,AUS,1301.304974
1996,AUS,1396.939169
1997,AUS,1253.499716
1998,AUS,1074.411585
1999,AUS,1016.627802
2000,AUS,994.5588833
2001,AUS,1056.694376
2002,AUS,1254.871951
2003,AUS,1226.647018
2004,AUS,1261.785525
2005,AUS,1471.341362
2006,AUS,1626.310911
2007,AUS,1900.044366
2008,AUS,1604.845678
2009,AUS,1184.020993
2010,AUS,1736.58694
2011,AUS,2093.89928
2012,AUS,1882.455648
2013,AUS,1838.89631
2014,AUS,1766.001118
2015,AUS,1629.368351
2016,AUS,1858.610738
2017,AUS,2489.910857
2018,AUS,2180.903903
2019,AUS,2190.492906
2020,AUS,2140.092054
1995,BRA,-3634.719707
1996,BRA,-77.43347089
1997,BRA,-236.4406745
1998,BRA,4087.471584
1999,BRA,-282.8677274
2000,BRA,5293.821501
2001,BRA,4061.33013
2002,BRA,4150.589081
2003,BRA,4876.401377
2004,BRA,4396.859075
2005,BRA,6464.176618
2006,BRA,7385.616398
2007,BRA,7774.971365
2008,BRA,7771.01301
2009,BRA,10239.94088
2010,BRA,11955.5946
2011,BRA,13989.96332
2012,BRA,11935.84142
2013,BRA,9091.204064
2014,BRA,8112.53174
2015,BRA,5977.800524
2016,BRA,7832.383973
2017,BRA,6464.852095
2018,BRA,5122.262875
2019,BRA,4860.929179
2020,BRA,4058.817624
1986,CAN,7203.096364
1987,CAN,6474.775758
1988,CAN,5573.227247
1989,CAN,5730.910557
1990,CAN,6446.490637
1991,CAN,6989.400052
1992,CAN,5175.530032
1993,CAN,4551.901396
1994,CAN,4005.100945
1995,CAN,3875.204781
1996,CAN,3673.643883
1997,CAN,3442.697658
1998,CAN,3643.722072
1999,CAN,4162.685142
2000,CAN,5598.514207
2001,CAN,5186.941893
2002,CAN,5993.453993
2003,CAN,6352.154036
2004,CAN,5408.402526
2005,CAN,6458.992483
2006,CAN,6288.92684
2007,CAN,6176.839612
2008,CAN,5065.405378
2009,CAN,5814.995399
2010,CAN,6602.799302
2011,CAN,6739.010091
2012,CAN,7084.357135
2013,CAN,5415.623869
2014,CAN,4717.520367
2015,CAN,4820.9947
2016,CAN,5405.830709
2017,CAN,4743.264838
2018,CAN,4533.590151
2019,CAN,5239.079631
2020,CAN,5571.211351
1986,CHE,6745.036477
1987,CHE,7293.257394
1988,CHE,7599.756072
1989,CHE,6551.995883
1990,CHE,6769.853532
1991,CHE,6973.979331
1992,CHE,6347.451832
1993,CHE,7001.907672
1994,CHE,7069.351492
1995,CHE,6694.848132
1996,CHE,6766.814377
1997,CHE,6493.374766
1998,CHE,6631.852752
1999,CHE,6533.86985
2000,CHE,6063.058194
2001,CHE,5712.314451
2002,CHE,6272.946606
2003,CHE,5884.196956
2004,CHE,5785.028957
2005,CHE,5376.118647
2006,CHE,5275.816049
2007,CHE,4365.639017
2008,CHE,4464.433574
2009,CHE,4814.124057
2010,CHE,4875.760351
2011,CHE,5067.518479
2012,CHE,5327.028779
2013,CHE,5132.859033
2014,CHE,5980.094435
2015,CHE,6783.231812
2016,CHE,6737.227836
2017,CHE,6240.858097
2018,CHE,5711.497681
2019,CHE,5998.667076
2020,CHE,6778.918541
1995,CHL,277.7162695
1996,CHL,319.1847579
1997,CHL,436.4066651
1998,CHL,576.0524028
1999,CHL,568.5536736
2000,CHL,696.1137888
2001,CHL,390.7177914
2002,CHL,449.2622723
2003,CHL,272.1926179
2004,CHL,279.4525927
2005,CHL,338.3635594
2006,CHL,342.8445896
2007,CHL,350.0188964
2008,CHL,340.6652037
2009,CHL,471.4338431
2010,CHL,478.2731627
2011,CHL,542.0386234
2012,CHL,590.6956178
2013,CHL,614.9127491
2014,CHL,621.4331068
2015,CHL,719.9701313
2016,CHL,689.5394404
2017,CHL,752.9197739
2018,CHL,721.2131828
2019,CHL,731.0032883
2020,CHL,554.5189234
1995,CHN,13394.77095
1996,CHN,5785.032966
1997,CHN,9349.453541
1998,CHN,13016.17853
1999,CHN,6326.652192
2000,CHN,23180.57692
2001,CHN,28703.2086
2002,CHN,33912.21646
2003,CHN,34390.33055
2004,CHN,32418.54712
2005,CHN,38374.53912
2006,CHN,55605.57225
2007,CHN,61073.03859
2008,CHN,35891.45364
2009,CHN,79960.77669
2010,CHN,100650.1292
2011,CHN,89476.92851
2012,CHN,156992.9438
2013,CHN,179075.7689
2014,CHN,186417.3195
2015,CHN,240530.2882
2016,CHN,225057.01
2017,CHN,214345.0299
2018,CHN,187504.88
2019,CHN,191078.4001
2020,CHN,205705.2222
1995,COL,2713.48444
1996,COL,2960.714197
1997,COL,3409.449458
1998,COL,3241.440619
1999,COL,3083.56937
2000,COL,2647.458903
2001,COL,2897.720494
2002,COL,3252.408903
2003,COL,1428.831643
2004,COL,1723.269378
2005,COL,2632.967383
2006,COL,2239.486969
2007,COL,2881.87852
2008,COL,3210.094928
2009,COL,3802.224296
2010,COL,4045.94296
2011,COL,4234.134298
2012,COL,5603.988547
