year,geo,value
1990,WLD,1.1988449926666669
1991,WLD,23.91758369055556
1992,WLD,25.806267215326084
1993,WLD,26.17481142968085
1994,WLD,25.805723295270834
1995,WLD,30.87301895138298
1996,WLD,33.96597831522448
1997,WLD,33.780414087857146
1998,WLD,30.162196673416666
1999,WLD,31.116036480130433
2000,WLD,28.46515040675556
2001,WLD,26.6398342852
2002,WLD,28.950696194217386
2003,WLD,39.64681493252174
2004,WLD,46.81077114066666
2005,WLD,21.594609925504688
2006,WLD,33.47593621371839
2007,WLD,5.958337616310019
2008,WLD,35.5452896896945
2009,WLD,17.645417849346746
2010,WLD,20.033915085977487
2011,WLD,23.843042695223403
2012,WLD,11.204818231653144
2013,WLD,8.413968077926858
2014,WLD,8.795285227406366
2015,WLD,8.491229981011598
2016,WLD,8.487424846481417
2017,WLD,9.757340809625296
2018,WLD,14.07667361959686
2019,WLD,16.379831170710133
2020,WLD,16.73579364937682
2021,WLD,23.58765184037357
