year,geo,value
2005,ALB,1.903158126
2006,ALB,1.753963019
1994,ARG,9.340027716000003
1995,ARG,8.74556357
1996,ARG,10.57562846
1997,ARG,14.99388447
1998,ARG,13.90381305
1999,ARG,13.92162191
2000,ARG,13.12014754
2001,ARG,13.90793914
2002,ARG,15.82585645
2003,ARG,12.50713278
2004,ARG,10.21488867
2005,ARG,9.521797181
2006,ARG,8.472030083
2007,ARG,7.352609858
2008,ARG,7.074345154
2009,ARG,7.4829240640000005
2010,ARG,7.195259409
2011,ARG,6.552121468000001
2012,ARG,7.269039666
2013,ARG,6.878715362
2014,ARG,7.137066105999999
2015,ARG,6.976819128000001
2016,ARG,6.982997488
2017,ARG,7.612437955
2018,ARG,6.453797401279332
2019,ARG,6.19296841475399
1994,ATG,1.207513384
1995,ATG,1.085481653
1996,ATG,1.356202649
1997,ATG,1.113671301
1998,ATG,1.090909091
1999,ATG,0.98626279
2000,ATG,1.570093458
2001,ATG,1.353179945
2002,ATG,1.24430956
2003,ATG,1.022727273
2004,ATG,9.153562742
2005,ATG,7.513608024
2006,ATG,4.833546375
2007,ATG,2.940143658
2008,ATG,3.134004599
2009,ATG,2.630195495
2010,ATG,2.967200642
2011,ATG,1.218262425
2012,ATG,1.262520373
2013,ATG,3.477013246
2014,ATG,1.178189365
2015,ATG,1.80901707
2016,ATG,1.191781281
2017,ATG,1.605557217
2018,ATG,1.65855763
2019,ATG,1.595531861
1994,AUS,9.055358311
1995,AUS,9.252893204
1996,AUS,8.808916008
1997,AUS,9.721619153
1998,AUS,9.80045913
1999,AUS,8.654119984
2000,AUS,8.357889227
2001,AUS,8.352417404
2002,AUS,8.11658937
2003,AUS,7.804930116
2004,AUS,7.451214656
2005,AUS,6.904279944
2006,AUS,6.827102826
2007,AUS,6.595287612
2008,AUS,6.564380051
2009,AUS,7.236313797
2010,AUS,6.962357077
2011,AUS,6.584478097
2012,AUS,8.226018355
2013,AUS,8.13786575
2014,AUS,6.36727384
2015,AUS,6.271799691
2016,AUS,5.929920251
2017,AUS,2.050562545
