year,geo,disagg,value
2010,WLD,total,628.3080350557785
2011,WLD,total,786.3729925690151
2012,WLD,total,868.096557213629
2013,WLD,total,843.151533502381
2014,WLD,total,756.8501219891997
2015,WLD,total,542.8024970796641
2016,WLD,total,477.84047374852514
2017,WLD,total,519.600753726676
2018,WLD,total,654.8618748971338
2019,WLD,total,525.7261309884946
2020,WLD,total,375.10239334415456
2010,WLD,Coal,23.2753687154475
2011,WLD,Coal,22.7275970657771
2012,WLD,Coal,22.668875523481997
2013,WLD,Coal,19.6727344675909
2014,WLD,Coal,19.1904490050817
2015,WLD,Coal,21.198944938253103
2016,WLD,Coal,16.9557862940922
2017,WLD,Coal,19.353323899896
2018,WLD,Coal,19.2658321027568
2019,WLD,Coal,17.0033327971795
2020,WLD,Coal,19.8562032560197
2010,WLD,End-use electricity,157.23534634536801
2011,WLD,End-use electricity,185.953456531662
2012,WLD,End-use electricity,190.847152594201
2013,WLD,End-use electricity,179.32503339207997
2014,WLD,End-use electricity,165.692255032191
2015,WLD,End-use electricity,137.654011548702
2016,WLD,End-use electricity,151.65930124230098
2017,WLD,End-use electricity,154.169630836566
2018,WLD,End-use electricity,196.41946774333402
2019,WLD,End-use electricity,159.75046116662
2020,WLD,End-use electricity,88.9185623236589
2010,WLD,Natural gas,134.982256855555
2011,WLD,Natural gas,140.725144169423
2012,WLD,Natural gas,164.53920045003
2013,WLD,Natural gas,154.29164465897603
2014,WLD,Natural gas,132.025155187506
2015,WLD,Natural gas,102.92583952327699
2016,WLD,Natural gas,77.8838240184329
2017,WLD,Natural gas,84.029185984802
2018,WLD,Natural gas,123.365256065123
2019,WLD,Natural gas,77.96355698603709
2020,WLD,Natural gas,63.2068492434
2010,WLD,Petroleum,312.81506313940804
2011,WLD,Petroleum,436.966794802153
2012,WLD,Petroleum,490.041328645916
2013,WLD,Petroleum,489.86212098373403
2014,WLD,Petroleum,439.942262764421
2015,WLD,Petroleum,281.023701069432
2016,WLD,Petroleum,231.34156219369902
2017,WLD,Petroleum,262.048613005412
2018,WLD,Petroleum,315.81131898591997
2019,WLD,Petroleum,271.008780038658
2020,WLD,Petroleum,203.12077852107598
