year,geo,value
1990,WLD,0.15
1991,WLD,0.36
1992,WLD,0.45999999999999996
1993,WLD,0.47000000000000003
1994,WLD,0.48
1995,WLD,0.47000000000000003
1996,WLD,0.49
1997,WLD,0.49
1998,WLD,0.48
1999,WLD,0.45999999999999996
2000,WLD,0.44999999999999996
2001,WLD,0.44999999999999996
2002,WLD,0.45999999999999996
2003,WLD,0.45999999999999996
2004,WLD,0.44999999999999996
2005,WLD,5.33
2006,WLD,5.220000000000001
2007,WLD,5.29
2008,WLD,5.37
2009,WLD,5.319999999999999
2010,WLD,5.37
2011,WLD,5.67
2012,WLD,7.64
2013,WLD,9.77
2014,WLD,10.68
2015,WLD,12.07
2016,WLD,12.44
2017,WLD,13.089999999999998
2018,WLD,13.25
2019,WLD,14.510000000000002
2020,WLD,14.93
2021,WLD,21.52
