year,geo,disagg,value
2010,AUS,Miscellaneous support for services to the sector,0.4743602566
2010,AUS,Total,0.4743602566
2011,AUS,Miscellaneous support for services to the sector,0.27663459539999996
2011,AUS,Total,0.27663459539999996
2012,AUS,Miscellaneous support for services to the sector,0.4384195851
2012,AUS,Total,0.4384195851
2013,AUS,Miscellaneous support for services to the sector,0.3914780831
2013,AUS,Total,0.3914780831
2014,AUS,Miscellaneous support for services to the sector,0.31975022649999996
2014,AUS,Transfers based on input use,1.1034771540000001
2014,AUS,Total,1.4232273805000002
2015,AUS,Marketing and promotion,0.03756911918
2015,AUS,Miscellaneous support for services to the sector,0.935206581
2015,AUS,Transfers based on input use,2.0456693009999998
2015,AUS,Total,3.01844500118
2016,AUS,Marketing and promotion,0.2549420046
2016,AUS,Miscellaneous support for services to the sector,1.612060354
2016,AUS,Transfers based on input use,1.4546537379999998
2016,AUS,Total,3.3216560966
2017,AUS,Marketing and promotion,0.08311931479999998
2017,AUS,Miscellaneous support for services to the sector,1.4056828670000001
2017,AUS,Transfers based on input use,2.0308330569999997
2017,AUS,Total,3.5196352388
2018,AUS,Marketing and promotion,0.3735092553
2018,AUS,Miscellaneous support for services to the sector,0.2483769316
2018,AUS,Transfers based on input use,0.005976148085
2018,AUS,Total,0.627862334985
2010,BEL,Marketing and promotion,0.8383622728
2010,BEL,Miscellaneous support for services to the sector,0.9237507283999999
2010,BEL,Provision of infrastructure,0.40196298979999995
2010,BEL,Transfers based on input use,12.50408316
2010,BEL,Total,14.668159151000001
2011,BEL,Miscellaneous support for services to the sector,0.22303837499999998
2011,BEL,Provision of infrastructure,0.5177367829999999
2011,BEL,Total,0.7407751579999999
2012,BEL,Miscellaneous support for services to the sector,0.9384954904999999
2012,BEL,Provision of infrastructure,0.2319506163
2012,BEL,Transfers based on input use,2.879006054
2012,BEL,Total,4.0494521608
2013,BEL,Marketing and promotion,1.121734537
2013,BEL,Miscellaneous support for services to the sector,2.360128138
2013,BEL,Provision of infrastructure,0.3620217015
2013,BEL,Transfers based on input use,1.399153321
2013,BEL,Total,5.2430376975
2014,BEL,Marketing and promotion,1.1614775689999999
2014,BEL,Miscellaneous support for services to the sector,0.8825186261
2014,BEL,Provision of infrastructure,2.7498080959999998
2014,BEL,Transfers based on input use,1.244032168
2014,BEL,Total,6.037836459099999
2015,BEL,Marketing and promotion,0.4437287376
2015,BEL,Miscellaneous support for services to the sector,0.9437655428
2015,BEL,Provision of infrastructure,1.2479793089999998
2015,BEL,Transfers based on input use,0.3569964093
2015,BEL,Total,2.9924699987
2016,BEL,Marketing and promotion,0.2702698139
2016,BEL,Provision of infrastructure,0.058864853939999996
2016,BEL,Transfers based on input use,0.9600138055999999
2016,BEL,Total,1.28914847344
2017,BEL,Marketing and promotion,1.336862439
2017,BEL,Provision of infrastructure,0.5023601128999999
2017,BEL,Transfers based on input use,0.8568351405
2017,BEL,Total,2.6960576923999997
2018,BEL,Marketing and promotion,0.8985046618
2018,BEL,Provision of infrastructure,1.888862659
2018,BEL,Transfers based on input use,1.8533553409999999
2018,BEL,Total,4.6407226618
2012,BRA,Marketing and promotion,4.230337917999999
2012,BRA,Miscellaneous support for services to the sector,3.90599218
2012,BRA,Provision of infrastructure,48.02074733
2012,BRA,Transfers based on input use,13.755176449999999
2012,BRA,Total,69.91225387799999
2013,BRA,Marketing and promotion,0.0
2013,BRA,Miscellaneous support for services to the sector,171.9766868
