year,geo,disagg,value
2010,ARG,Research and development,12.64506471
2010,ARG,Total,12.64506471
2011,ARG,Management of resources,5.21746594
2011,ARG,Research and development,13.36799822
2011,ARG,Total,18.58546416
2012,ARG,Management of resources,9.186188491
2012,ARG,Research and development,19.65723831
2012,ARG,Total,28.843426801
2013,ARG,Management of resources,10.47765097
2013,ARG,Research and development,18.32056427
2013,ARG,Total,28.798215239999998
2014,ARG,Management of resources,6.898823074
2014,ARG,Research and development,17.39439111
2014,ARG,Total,24.293214184
2015,ARG,Management of resources,8.184946993
2015,ARG,Research and development,18.46453883
2015,ARG,Total,26.649485823
2016,ARG,Management of resources,10.44692371
2016,ARG,Research and development,48.22312646
2016,ARG,Total,58.67005017
2017,ARG,Management of resources,18.17721926
2017,ARG,Research and development,42.97323863
2017,ARG,Total,61.15045789
2018,ARG,Management of resources,13.22565369
2018,ARG,Research and development,14.64431202
2018,ARG,Total,27.86996571
2010,AUS,Management of resources,61.81677708
2010,AUS,Research and development,39.90761772
2010,AUS,Total,101.7243948
2011,AUS,Management of resources,67.44463303
2011,AUS,Research and development,49.82146131
2011,AUS,Total,117.26609434
2012,AUS,Management of resources,90.19956494
2012,AUS,Research and development,49.004638
2012,AUS,Total,139.20420294000002
2013,AUS,Management of resources,99.43269673
2013,AUS,Research and development,51.02538631
2013,AUS,Total,150.45808304000002
2014,AUS,Management of resources,91.01137015
2014,AUS,Research and development,55.14911602
2014,AUS,Total,146.16048617
2015,AUS,Management of resources,75.21541134
2015,AUS,Research and development,46.50085041
2015,AUS,Total,121.71626175
2016,AUS,Management of resources,73.88100705
2016,AUS,Research and development,48.09276213
2016,AUS,Total,121.97376917999999
2017,AUS,Management of resources,90.26733217
2017,AUS,Research and development,51.87936623
2017,AUS,Total,142.1466984
2018,AUS,Management of resources,69.88687603
2018,AUS,Research and development,46.38787813
2018,AUS,Total,116.27475415999999
2010,BEL,Management of resources,0.605198229
2010,BEL,Research and development,0.995253693
2010,BEL,Total,1.600451922
2011,BEL,Management of resources,3.470151736
2011,BEL,Research and development,1.209730111
2011,BEL,Total,4.679881847
2012,BEL,Management of resources,4.515392632
2012,BEL,Research and development,0.524850566
2012,BEL,Total,5.040243198000001
2013,BEL,Research and development,0.322385178
2013,BEL,Total,0.322385178
2014,BEL,Management of resources,0.748927477
2014,BEL,Research and development,0.481783656
2014,BEL,Total,1.230711133
2015,BEL,Management of resources,0.148854352
2015,BEL,Research and development,0.460859995
2015,BEL,Total,0.609714347
2016,BEL,Management of resources,5.671104039
2016,BEL,Research and development,0.819347712
2016,BEL,Total,6.490451751
2017,BEL,Management of resources,7.162082696
2017,BEL,Research and development,0.568277289
2017,BEL,Total,7.730359985
2018,BEL,Management of resources,10.23769234
2018,BEL,Research and development,0.206207307
2018,BEL,Total,10.443899647
2012,BRA,Management of resources,61.03255844
2012,BRA,Research and development,3.123401015
2012,BRA,Total,64.155959455
2013,BRA,Management of resources,54.04560881
2013,BRA,Research and development,0.046341601
2013,BRA,Total,54.091950411
2014,BRA,Management of resources,78.38431225
2014,BRA,Research and development,4.248882496
2014,BRA,Total,82.63319474599999
2015,BRA,Management of resources,38.48527813
2015,BRA,Research and development,0.0
2015,BRA,Total,38.48527813
2016,BRA,Management of resources,3.072851156
2016,BRA,Research and development,0.0
2016,BRA,Total,3.072851156
2017,BRA,Management of resources,5.797161194
2017,BRA,Research and development,0.0
2017,BRA,Total,5.797161194
2018,BRA,Management of resources,2.224621104
2018,BRA,Research and development,0.0
2018,BRA,Total,2.224621104
2010,CAN,Management of resources,450.1038991
2010,CAN,Total,450.1038991
2011,CAN,Management of resources,461.9500029
2011,CAN,Total,461.9500029
2012,CAN,Management of resources,411.2252056
2012,CAN,Total,411.2252056
2013,CAN,Management of resources,385.2732297
2013,CAN,Total,385.2732297
2014,CAN,Management of resources,345.3220286
2014,CAN,Total,345.3220286
2015,CAN,Management of resources,297.4268805
2015,CAN,Total,297.4268805
2016,CAN,Management of resources,293.0960398
2016,CAN,Total,293.0960398
2017,CAN,Management of resources,365.0962699
2017,CAN,Total,365.0962699
2018,CAN,Management of resources,390.0676949
2018,CAN,Total,390.0676949
2010,CHL,Management of resources,0.390014071
2010,CHL,Total,0.390014071
2011,CHL,Management of resources,1.140414176
2011,CHL,Total,1.140414176
2012,CHL,Management of resources,1.532973151
2012,CHL,Total,1.532973151
2013,CHL,Management of resources,1.155706138
2013,CHL,Total,1.155706138
2014,CHL,Management of resources,1.012028588
2014,CHL,Total,1.012028588
2015,CHL,Management of resources,0.170710982
2015,CHL,Total,0.170710982
2016,CHL,Management of resources,0.491470947
2016,CHL,Total,0.491470947
2017,CHL,Management of resources,0.962295057
2017,CHL,Total,0.962295057
2018,CHL,Management of resources,0.058588924
2018,CHL,Total,0.058588924
2010,CHN,Management of resources,77.92036463
2010,CHN,Research and development,2.954662696
2010,CHN,Total,80.875027326
2011,CHN,Management of resources,67.05224074
2011,CHN,Research and development,3.094456965
2011,CHN,Total,70.14669770500001
2012,CHN,Management of resources,726.1180533
2012,CHN,Research and development,3.170205149
2012,CHN,Total,729.2882584490001
2013,CHN,Management of resources,91.78674324
2013,CHN,Research and development,3.25334928
2013,CHN,Total,95.04009252
2014,CHN,Management of resources,115.1720296
2014,CHN,Research and development,0.0
2014,CHN,Total,115.1720296
2015,CHN,Management of resources,63.65423819
2015,CHN,Total,63.65423819
2016,CHN,Management of resources,110.7643986
2016,CHN,Total,110.7643986
2017,CHN,Management of resources,248.6827574
2017,CHN,Total,248.6827574
2010,COL,Management of resources,0.899571678
2010,COL,Research and development,0.20549607
2010,COL,Total,1.105067748
2011,COL,Management of resources,1.494983714
2011,COL,Research and development,0.78682086
2011,COL,Total,2.2818045739999997
2012,COL,Management of resources,1.875006151
2012,COL,Research and development,0.758752591
2012,COL,Total,2.633758742
2013,COL,Management of resources,1.215453914
2013,COL,Research and development,2.620809548
2013,COL,Total,3.836263462
2014,COL,Management of resources,1.488597082
2014,COL,Research and development,1.055214355
2014,COL,Total,2.543811437
2015,COL,Management of resources,1.380227996
2015,COL,Research and development,0.368119765
2015,COL,Total,1.7483477609999998
2016,COL,Management of resources,1.297077099
2016,COL,Research and development,0.833916854
2016,COL,Total,2.130993953
2017,COL,Management of resources,1.760292305
2017,COL,Research and development,0.448218449
2017,COL,Total,2.2085107539999997
2018,COL,Management of resources,1.237929549
2018,COL,Research and development,0.583398376
2018,COL,Total,1.8213279249999998
2010,CRI,Management of resources,0.919282174
2010,CRI,Total,0.919282174
2011,CRI,Management of resources,1.092155737
2011,CRI,Total,1.092155737
2012,CRI,Management of resources,1.045783103
2012,CRI,Total,1.045783103
2013,CRI,Management of resources,0.955776163
2013,CRI,Total,0.955776163
2014,CRI,Management of resources,4.279226114
2014,CRI,Total,4.279226114
2015,CRI,Management of resources,4.721837156
2015,CRI,Total,4.721837156
2016,CRI,Management of resources,4.13895763
2016,CRI,Total,4.13895763
2017,CRI,Management of resources,6.154368762
2017,CRI,Total,6.154368762
2018,CRI,Management of resources,4.747089416
2018,CRI,Total,4.747089416
2015,DEU,Management of resources,17.80973645
2015,DEU,Total,17.80973645
2016,DEU,Management of resources,1.407683329
2016,DEU,Research and development,0.185649717
2016,DEU,Total,1.593333046
2017,DEU,Management of resources,32.73793318
2017,DEU,Research and development,0.028557992
2017,DEU,Total,32.766491172
2018,DEU,Management of resources,12.21510812
2018,DEU,Total,12.21510812
2010,DNK,Management of resources,35.86067799
2010,DNK,Research and development,1.788076018
2010,DNK,Total,37.648754008
2011,DNK,Management of resources,40.52005242
2011,DNK,Research and development,1.322969507
2011,DNK,Total,41.843021927
2012,DNK,Management of resources,43.78094095
2012,DNK,Research and development,1.442972915
2012,DNK,Total,45.223913865
2013,DNK,Management of resources,33.18594916
2013,DNK,Research and development,34.43324948
2013,DNK,Total,67.61919864000001
2014,DNK,Management of resources,37.92006907
2014,DNK,Research and development,26.10615904
2014,DNK,Total,64.02622811
2015,DNK,Management of resources,36.13542301
2015,DNK,Research and development,15.6663935
2015,DNK,Total,51.801816509999995
2016,DNK,Management of resources,40.78544929
2016,DNK,Research and development,15.78053813
2016,DNK,Total,56.56598742
2017,DNK,Management of resources,42.85297734
2017,DNK,Research and development,17.08672405
2017,DNK,Total,59.93970139
2018,DNK,Management of resources,42.46782446
2018,DNK,Research and development,15.30693111
2018,DNK,Total,57.77475557
2010,ESP,Management of resources,1.735380714
2010,ESP,Research and development,1.29123658
2010,ESP,Total,3.0266172940000002
2011,ESP,Management of resources,1.65202269
2011,ESP,Research and development,9.01166734
2011,ESP,Total,10.663690030000001
2012,ESP,Management of resources,2.604153865
2012,ESP,Research and development,5.598775668
2012,ESP,Total,8.202929532999999
2013,ESP,Management of resources,0.847362849
2013,ESP,Research and development,4.711342536
2013,ESP,Total,5.558705385
2014,ESP,Management of resources,3.680241454
2014,ESP,Research and development,2.021660454
2014,ESP,Total,5.701901908
2015,ESP,Management of resources,5.759768641
2015,ESP,Research and development,9.726165535
2015,ESP,Total,15.485934176
2016,ESP,Management of resources,7.705975808
2016,ESP,Research and development,0.315787519
2016,ESP,Total,8.021763327
2017,ESP,Management of resources,5.328487447
2017,ESP,Research and development,0.705718112
2017,ESP,Total,6.034205559
2018,ESP,Management of resources,3.351325248
2018,ESP,Research and development,1.977776164
2018,ESP,Total,5.329101412
2010,EST,Management of resources,1.592856397
2010,EST,Research and development,0.186594617
2010,EST,Total,1.779451014
2011,EST,Management of resources,1.332615357
2011,EST,Research and development,0.209319568
2011,EST,Total,1.5419349249999998
2012,EST,Management of resources,0.497665693
2012,EST,Research and development,0.024780008
2012,EST,Total,0.522445701
2013,EST,Management of resources,0.975708595
2013,EST,Total,0.975708595
2014,EST,Management of resources,0.6613483
2014,EST,Total,0.6613483
2015,EST,Management of resources,0.671363799
2015,EST,Total,0.671363799
2016,EST,Management of resources,1.914200068
2016,EST,Research and development,0.143388974
2016,EST,Total,2.057589042
2017,EST,Management of resources,2.020915908
2017,EST,Research and development,0.510264163
2017,EST,Total,2.531180071
2018,EST,Management of resources,2.078691258
2018,EST,Research and development,1.072087513
2018,EST,Total,3.150778771
2010,FRA,Management of resources,5.706686377
2010,FRA,Research and development,1.722393622
2010,FRA,Total,7.429079999
2011,FRA,Management of resources,0.42090274
2011,FRA,Research and development,2.313348005
2011,FRA,Total,2.7342507449999998
2012,FRA,Management of resources,0.436671591
2012,FRA,Research and development,3.250107783
2012,FRA,Total,3.686779374
2013,FRA,Management of resources,0.134992587
2013,FRA,Research and development,0.750410404
2013,FRA,Total,0.8854029910000001
2016,FRA,Management of resources,7.631105795
2016,FRA,Total,7.631105795
2017,FRA,Management of resources,52.72697412
2017,FRA,Research and development,1.472931387
2017,FRA,Total,54.199905507000004
2018,FRA,Management of resources,1.190895599
2018,FRA,Research and development,0.784933059
2018,FRA,Total,1.9758286580000002
2010,GBR,Management of resources,0.882391326
2010,GBR,Research and development,0.819984389
2010,GBR,Total,1.702375715
2011,GBR,Management of resources,2.984693719
2011,GBR,Research and development,0.385281145
2011,GBR,Total,3.369974864
2012,GBR,Management of resources,1.141417732
2012,GBR,Research and development,0.27010024
2012,GBR,Total,1.411517972
2013,GBR,Management of resources,2.569124136
2013,GBR,Research and development,0.888260822
2013,GBR,Total,3.457384958
2014,GBR,Management of resources,3.391292752
2014,GBR,Research and development,1.673988028
2014,GBR,Total,5.06528078
2015,GBR,Management of resources,2.752089733
2015,GBR,Research and development,0.703435818
2015,GBR,Total,3.455525551
2016,GBR,Management of resources,6.239455684
2016,GBR,Research and development,0.184468717
2016,GBR,Total,6.423924401
2017,GBR,Management of resources,2.17729842
2017,GBR,Research and development,0.277214646
2017,GBR,Total,2.454513066
2018,GBR,Management of resources,15.86240798
2018,GBR,Research and development,0.81333727
2018,GBR,Total,16.675745250000002
2012,GRC,Management of resources,0.039372436
2012,GRC,Total,0.039372436
2013,GRC,Management of resources,0.297391074
2013,GRC,Total,0.297391074
2014,GRC,Management of resources,0.196007632
2014,GRC,Total,0.196007632
2015,GRC,Management of resources,0.234438532
2015,GRC,Research and development,0.770624808
2015,GRC,Total,1.00506334
2016,GRC,Management of resources,0.0
2016,GRC,Total,0.0
2017,GRC,Management of resources,0.0
2017,GRC,Total,0.0
2018,GRC,Management of resources,0.66536085
2018,GRC,Total,0.66536085
2017,IDN,Management of resources,14.72183999
2017,IDN,Research and development,2.167174415
2017,IDN,Total,16.889014404999998
2018,IDN,Management of resources,17.63522204
2018,IDN,Research and development,0.491818941
2018,IDN,Total,18.127040981
2016,IND,Management of resources,0.200844766
2016,IND,Research and development,8.118652951
2016,IND,Total,8.319497716999999
2017,IND,Management of resources,0.004422278
2017,IND,Research and development,12.77353529
2017,IND,Total,12.777957568
2018,IND,Management of resources,0.002047812
2018,IND,Research and development,13.63314319
2018,IND,Total,13.635191002000001
2014,IRL,Management of resources,21.81222357
2014,IRL,Research and development,0.804302651
2014,IRL,Total,22.616526221
2015,IRL,Management of resources,21.35486039
2015,IRL,Research and development,0.6198835
2015,IRL,Total,21.97474389
2016,IRL,Management of resources,36.80454278
2016,IRL,Research and development,0.472198079
2016,IRL,Total,37.276740859
2017,IRL,Management of resources,13.33459176
2017,IRL,Research and development,0.278582709
2017,IRL,Total,13.613174469
2018,IRL,Management of resources,15.11428844
2018,IRL,Research and development,3.8147517
2018,IRL,Total,18.929040139999998
2010,ISL,Management of resources,11.7696664
2010,ISL,Research and development,17.07879829
2010,ISL,Total,28.84846469
2011,ISL,Management of resources,13.07536284
2011,ISL,Research and development,18.63293057
2011,ISL,Total,31.70829341
2012,ISL,Management of resources,13.08761937
2012,ISL,Research and development,18.2986898
2012,ISL,Total,31.386309169999997
2013,ISL,Management of resources,14.0299287
2013,ISL,Research and development,19.61243242
2013,ISL,Total,33.642361120000004
2014,ISL,Management of resources,15.2560656
2014,ISL,Research and development,21.32609777
2014,ISL,Total,36.58216337
2015,ISL,Management of resources,15.15359594
2015,ISL,Research and development,16.82460837
2015,ISL,Total,31.978204310000002
2016,ISL,Management of resources,15.225052
2016,ISL,Research and development,15.10416026
2016,ISL,Total,30.32921226
2017,ISL,Management of resources,18.97757671
2017,ISL,Research and development,26.6327319
2017,ISL,Total,45.610308610000004
2018,ISL,Management of resources,17.81437889
2018,ISL,Research and development,28.0966121
2018,ISL,Total,45.91099099
2010,ITA,Management of resources,0.009016699
2010,ITA,Research and development,14.73494213
2010,ITA,Total,14.743958829
2011,ITA,Management of resources,0.086284926
2011,ITA,Research and development,12.07914445
2011,ITA,Total,12.165429375999999
2012,ITA,Management of resources,0.872419141
2012,ITA,Research and development,6.39962939
2012,ITA,Total,7.272048531
2013,ITA,Management of resources,1.296465413
2013,ITA,Research and development,6.339142632
2013,ITA,Total,7.635608045
2014,ITA,Management of resources,0.664716439
2014,ITA,Research and development,6.924392302
2014,ITA,Total,7.589108741
2015,ITA,Management of resources,2.308374913
2015,ITA,Research and development,1.979299735
2015,ITA,Total,4.287674648
2016,ITA,Management of resources,15.75191241
2016,ITA,Research and development,28.64028946
2016,ITA,Total,44.39220187
2017,ITA,Management of resources,4.048752063
2017,ITA,Research and development,2.088534784
2017,ITA,Total,6.137286847
2018,ITA,Management of resources,35.63992488
2018,ITA,Research and development,2.073225583
2018,ITA,Total,37.713150463000005
2014,JPN,Management of resources,411.0993194
2014,JPN,Research and development,155.2873587
2014,JPN,Total,566.3866781
2015,JPN,Management of resources,346.6755692
2015,JPN,Research and development,138.5041366
2015,JPN,Total,485.17970579999997
2016,JPN,Management of resources,340.69406
2016,JPN,Research and development,157.7829216
2016,JPN,Total,498.4769816
2017,JPN,Management of resources,295.9644374
2017,JPN,Research and development,153.4358097
2017,JPN,Total,449.4002471
2018,JPN,Management of resources,243.0353525
2018,JPN,Research and development,213.3262689
2018,JPN,Total,456.3616214
2017,KOR,Management of resources,116.8803385
2017,KOR,Total,116.8803385
2018,KOR,Management of resources,123.3809641
2018,KOR,Total,123.3809641
2010,LTU,Management of resources,0.843891038
2010,LTU,Research and development,0.376140737
2010,LTU,Total,1.220031775
2011,LTU,Management of resources,0.755990716
2011,LTU,Research and development,0.933719766
2011,LTU,Total,1.689710482
2012,LTU,Management of resources,0.608265632
2012,LTU,Research and development,0.346761414
2012,LTU,Total,0.9550270459999999
2013,LTU,Management of resources,0.775115138
2013,LTU,Research and development,0.939392781
2013,LTU,Total,1.7145079189999999
2014,LTU,Management of resources,1.719332682
2014,LTU,Research and development,1.38822257
2014,LTU,Total,3.107555252
2015,LTU,Management of resources,2.022868351
2015,LTU,Research and development,2.26616038
2015,LTU,Total,4.289028731
2016,LTU,Management of resources,4.0060522
2016,LTU,Research and development,3.037045343
2016,LTU,Total,7.043097543
2017,LTU,Management of resources,2.921745057
2017,LTU,Total,2.921745057
2018,LTU,Management of resources,1.731519655
2018,LTU,Research and development,0.078581466
2018,LTU,Total,1.810101121
2019,LTU,Management of resources,1.747358646
2019,LTU,Research and development,0.121733025
2019,LTU,Total,1.8690916709999998
2010,MEX,Management of resources,5.224875596
2010,MEX,Total,5.224875596
2011,MEX,Management of resources,5.871123341
2011,MEX,Total,5.871123341
2012,MEX,Management of resources,5.323110582
2012,MEX,Total,5.323110582
2013,MEX,Management of resources,5.71658241
2013,MEX,Total,5.71658241
2014,MEX,Management of resources,5.260993831
2014,MEX,Total,5.260993831
2015,MEX,Management of resources,3.275755187
2015,MEX,Total,3.275755187
2016,MEX,Management of resources,7.242021776
2016,MEX,Total,7.242021776
2017,MEX,Management of resources,8.462499742
